,species,decimalLongitude,decimalLatitude,country
1319,Ayenia tomentosa,-57.53333000000001,-25.433329999999998,Paraguay
1320,Ayenia micrantha,-85.35,10.35,Costa Rica
1321,Ayenia micrantha,-85.35,10.35,Costa Rica
1322,Ayenia insulicola,-80.17,21.83,Cuba
1323,Ayenia insulicola,-80.17,21.83,Cuba
1324,Ayenia micrantha,-85.627778,10.8375,Costa Rica
1325,Ayenia glabra,-104.7,21.8,Mexico
1326,Ayenia micrantha,-85.62,10.83,Costa Rica
1327,Ayenia glabra,-104.704167,21.808611,Mexico
1328,Ayenia micrantha,-85.62,10.83,Costa Rica
1329,Ayenia micrantha,-85.366667,10.166667,Costa Rica
1330,Ayenia micrantha,-85.366667,10.166667,Costa Rica
1331,Ayenia klugii,-77.95,-1.76666,Ecuador
1332,Ayenia klugii,-77.95,-1.7667,Ecuador
1333,Ayenia ardua,-90.11833299999999,19.484722,Mexico
1334,Ayenia filiformis,-104.108333,29.491667,United States of America
1335,Ayenia microphylla,-104.108333,29.491667,United States of America
1336,Ayenia jaliscana,-109.141667,26.751389,Mexico
1337,Ayenia filiformis,-109.24166699999999,26.786111,Mexico
1338,Ayenia wrightii,-107.368333,24.675,Mexico
1339,Ayenia wrightii,-99.4775,17.764444,Mexico
1340,Ayenia berlandieri,-99.4775,17.764444,Mexico
1341,Ayenia jaliscana,-108.918056,26.9125,Mexico
1342,Ayenia jaliscana,-109.141667,26.751389,Mexico
1343,Ayenia jaliscana,-108.918056,26.9125,Mexico
1344,Ayenia filiformis,-110.834,33.7629,United States of America
1345,Ayenia jaliscana,-109.14166999999999,26.75139,Mexico
1346,Ayenia micrantha,-85.36,10.16,Costa Rica
1347,Ayenia dentata,-87.01666,12.38333,Nicaragua
1348,Ayenia wrightii,-107.35,24.708333,Mexico
1349,Ayenia wrightii,-104.677778,19.677778,Mexico
1350,Ayenia rotundifolia,-98.6,20.65,Mexico
1351,Ayenia filiformis,-110.851,33.8204,United States of America
1352,Ayenia wrightii,-104.677778,19.677778,Mexico
1353,Ayenia filiformis,-108.968056,26.975,Mexico
1354,Ayenia filiformis,-108.968056,26.975,Mexico
1355,Ayenia eliae,-61.683330000000005,-21.8,Paraguay
1356,Ayenia magna,-63.16666,-20.61666,"Bolivia, Plurinational State of"
